modelo,target,n_amostras,n_features_originais,cv_best_r2,test_r2,test_rmse,test_mae,pca_componentes,pca_variancia_explicada,k_best,melhores_params
Lasso,olsen_p_mg_kg,489,2542,0.07290454689998169,0.08619176149622843,4.359302584121273,2.553223326813338,32.0,0.9975195960737214,,"{'pca_n_components': 32, 'alpha': 2.459047700012519}"
ElasticNet,olsen_p_mg_kg,489,2542,0.07496237922906153,0.08198793658016645,4.369318206788283,2.5430400304370466,62.0,0.9990239360135961,,"{'pca_n_components': 62, 'alpha': 8.919316991397258, 'l1_ratio': 0.20690596050440502}"
Ridge,olsen_p_mg_kg,489,2542,0.0006754512117006284,0.05626465157628935,4.430110831857256,2.6405847660045727,53.0,0.998756458869335,,"{'pca_n_components': 53, 'alpha': 953.5936914731711}"
ElasticNet_SelectKBest,olsen_p_mg_kg,489,2542,0.03020196459639444,0.047937127546792024,4.449613560084926,2.80399154549238,,,45.0,"{'k_best': 45, 'alpha': 0.03880634530820256, 'l1_ratio': 0.28385048921668943}"
XGBoost,olsen_p_mg_kg,489,2542,0.002819915762404057,0.03733762696310605,4.474314206423664,2.20257725423696,50.0,0.9986451740769104,,"{'pca_n_components': 50, 'n_estimators': 350, 'learning_rate': 0.010357803095868813, 'max_depth': 2, 'subsample': 0.6916006567347558, 'colsample_bytree': 0.6325055965929153, 'reg_alpha': 0.00010604544921307496, 'reg_lambda': 9.993591149937103}"
PLS,olsen_p_mg_kg,489,2542,-0.03628526408740675,0.00791932340521273,4.542165723966239,2.6869072629192225,10.0,0.9833838429203842,,"{'pca_n_components': 10, 'n_components': 4}"
LightGBM,olsen_p_mg_kg,489,2542,-0.013544816684379879,0.0004400274390179426,4.559255268041798,2.558931848868409,21.0,0.9955699319326357,,"{'pca_n_components': 21, 'n_estimators': 150, 'learning_rate': 0.010011882989988046, 'max_depth': 7, 'num_leaves': 40, 'subsample': 0.8187940055752606, 'colsample_bytree': 0.8821636914305189, 'reg_alpha': 9.100320259736442, 'reg_lambda': 0.04454203239212842}"
MLP,olsen_p_mg_kg,489,2542,0.14407166557596213,-0.32541322018032304,5.250070428516551,2.951257482221959,53.0,0.998755612056574,,"{'pca_n_components': 53, 'hidden_layer_sizes': (256, 128), 'activation': 'relu', 'alpha': 4.474076842850793e-05, 'learning_rate_init': 0.000376585147785444}"
