modelo,target,n_amostras,n_features_originais,cv_best_r2,test_r2,test_rmse,test_mae,pca_componentes,pca_variancia_explicada,k_best,melhores_params
LightGBM,ph,472,2542,0.722671104641306,0.7995203700531948,0.4620835539614847,0.3555744571764301,35.0,0.997749955096927,,"{'pca_n_components': 35, 'n_estimators': 250, 'learning_rate': 0.10956738425937257, 'max_depth': 3, 'num_leaves': 58, 'subsample': 0.91527908534468, 'colsample_bytree': 0.7332380625351959, 'reg_alpha': 0.0485809864989149, 'reg_lambda': 1.8616496223853627}"
Lasso,ph,472,2542,0.770027755165674,0.7944193295979466,0.467925297106203,0.3709637201059759,56.0,0.9988579570075459,,"{'pca_n_components': 56, 'alpha': 0.013006515997896486}"
XGBoost,ph,472,2542,0.7173699375387631,0.7908424701492452,0.4719784154225608,0.3435264217979029,21.0,0.9952654876443322,,"{'pca_n_components': 21, 'n_estimators': 300, 'learning_rate': 0.039618301423126896, 'max_depth': 3, 'subsample': 0.8534872781113066, 'colsample_bytree': 0.9458235609397913, 'reg_alpha': 0.028003718902267785, 'reg_lambda': 0.9337085432385142}"
Ridge,ph,472,2542,0.7745849470608682,0.7750374172046266,0.48948628816079853,0.38651642060436675,30.0,0.997218375714204,,"{'pca_n_components': 30, 'alpha': 13.018691972155313}"
ElasticNet,ph,472,2542,0.774485416674587,0.7690810142172329,0.4959240915885975,0.3916169062045376,33.0,0.997562816260742,,"{'pca_n_components': 33, 'alpha': 0.0009595219758209696, 'l1_ratio': 0.4706258252540231}"
PLS,ph,472,2542,0.7743745371520535,0.7680617783999864,0.49701734744570475,0.3923890872667777,33.0,0.9975628127541479,,"{'pca_n_components': 33, 'n_components': 6}"
ElasticNet_SelectKBest,ph,472,2542,0.588867445873804,0.6627601264587872,0.5993145819719778,0.49688702575676325,,,297.0,"{'k_best': 297, 'alpha': 0.010251497965459523, 'l1_ratio': 0.0739962601409976}"
MLP,ph,472,2542,0.09312054678009243,0.211755317371763,0.9162540570804864,0.6569202070673191,69.0,0.9991842457012547,,"{'pca_n_components': 69, 'hidden_layer_sizes': (256, 128), 'activation': 'relu', 'alpha': 3.464540482918949e-05, 'learning_rate_init': 0.008712445720809106}"
