modelo,target,n_amostras,n_features_originais,cv_best_r2,test_r2,test_rmse,test_mae,pca_componentes,pca_variancia_explicada,k_best,melhores_params
MLP,ecec_cmolc__kg_soil,489,2542,0.7669212465333953,0.7776174206014722,4.6764917527972365,3.7323692070646532,52.0,0.9987206463792558,,"{'pca_n_components': 52, 'hidden_layer_sizes': (64,), 'activation': 'relu', 'alpha': 0.0003221120573579106, 'learning_rate_init': 0.0011302516488766515}"
LightGBM,ecec_cmolc__kg_soil,489,2542,0.721420911599927,0.7336763684893133,5.117697870405694,3.8400988335943125,20.0,0.9952722650323285,,"{'pca_n_components': 20, 'n_estimators': 300, 'learning_rate': 0.05995915996025394, 'max_depth': 3, 'num_leaves': 26, 'subsample': 0.7670104688873415, 'colsample_bytree': 0.6885302705025818, 'reg_alpha': 9.462452148966085, 'reg_lambda': 0.018781842583908127}"
XGBoost,ecec_cmolc__kg_soil,489,2542,0.7127574161476762,0.6668763502102606,5.723642821501233,3.8246788950965116,47.0,0.9985161400942487,,"{'pca_n_components': 47, 'n_estimators': 400, 'learning_rate': 0.02247299297667298, 'max_depth': 3, 'subsample': 0.757885815125591, 'colsample_bytree': 0.8384536418749832, 'reg_alpha': 0.0011313659871437611, 'reg_lambda': 0.00012740017262577626}"
Lasso,ecec_cmolc__kg_soil,489,2542,0.757260573352133,0.6602124080306064,5.780608391315378,4.343520630411741,65.0,0.9990953367361068,,"{'pca_n_components': 65, 'alpha': 0.07615951375580214}"
PLS,ecec_cmolc__kg_soil,489,2542,0.7569196656737676,0.6574450370939555,5.804100490902811,4.403452884052544,58.0,0.9989160691795681,,"{'pca_n_components': 58, 'n_components': 17}"
ElasticNet,ecec_cmolc__kg_soil,489,2542,0.7610435780500514,0.6326913429180492,6.010150860101488,4.582347471332648,49.0,0.998605961121312,,"{'pca_n_components': 49, 'alpha': 0.00199994875128154, 'l1_ratio': 0.05545975478736285}"
Ridge,ecec_cmolc__kg_soil,489,2542,0.7607903354047898,0.6215127205884043,6.100921473041073,4.60026264660078,47.0,0.9985160410528993,,"{'pca_n_components': 47, 'alpha': 0.42505627397465395}"
ElasticNet_SelectKBest,ecec_cmolc__kg_soil,489,2542,0.5584955337630969,0.5195839933269595,6.87350931598356,5.499852333004606,,,285.0,"{'k_best': 285, 'alpha': 0.01544088393717339, 'l1_ratio': 0.16583628103536732}"
