,modelo,target,log_transform,n_amostras,n_features_originais,cv_best_r2,test_r2,test_rmse,test_mae,test_rpd,pca_componentes,pca_variancia_explicada,k_best,melhores_params
0,MLP,pct_c,False,488,2542,0.746201684232221,0.7075442932805343,0.5914943626886469,0.3046720588709143,1.8491406670879424,66.0,0.9991084073870043,,"{'pca_n_components': 66, 'hidden_layer_sizes': (256, 128), 'activation': 'relu', 'alpha': 7.132042230169393e-05, 'learning_rate_init': 0.007280093557869029}"
1,LightGBM,pct_c,False,488,2542,0.63089687853885,0.707440599754301,0.5915992139517413,0.3715849259039823,1.848812937216078,10.0,0.9828874912254167,,"{'pca_n_components': 10, 'n_estimators': 300, 'learning_rate': 0.04161985512122169, 'max_depth': 8, 'num_leaves': 47, 'subsample': 0.8583815076091388, 'colsample_bytree': 0.7734053472748053, 'reg_alpha': 0.0002499104764321192, 'reg_lambda': 0.008982176758775369}"
2,ElasticNet,pct_c,False,488,2542,0.7130482141455695,0.7046130360278287,0.5944512194907723,0.33401161931261447,1.8399428658549843,67.0,0.9991315621717336,,"{'pca_n_components': 67, 'alpha': 0.01485187751108625, 'l1_ratio': 0.4008427456158712}"
3,Lasso,pct_c,False,488,2542,0.7136370070597265,0.7027650934368236,0.5963077655469683,0.33753033495075657,1.8342143832347793,68.0,0.9991502172825594,,"{'pca_n_components': 68, 'alpha': 0.005317715775270483}"
4,Ridge,pct_c,False,488,2542,0.7073358148770981,0.6959576239779249,0.6030976256232905,0.35345043903499784,1.8135642289595562,68.0,0.9991502172825594,,"{'pca_n_components': 68, 'alpha': 1.9032565421406793}"
5,PLS,pct_c,False,488,2542,0.7060416403220338,0.6909956317428521,0.6079990059542806,0.35981502013236877,1.798944191831604,68.0,0.9991502172825594,,"{'pca_n_components': 68, 'n_components': 2}"
6,XGBoost,pct_c,False,488,2542,0.6891116017157648,0.638577920087323,0.6575486647484922,0.2947187169291535,1.6633845356817751,15.0,0.9916415320347974,,"{'pca_n_components': 15, 'n_estimators': 400, 'learning_rate': 0.05260422656391007, 'max_depth': 5, 'subsample': 0.6112478508961379, 'colsample_bytree': 0.7110032952124675, 'reg_alpha': 0.0001422184720530654, 'reg_lambda': 0.020700198550323554}"
7,ElasticNet_SelectKBest,pct_c,False,488,2542,0.5180674110897048,0.4845910221573947,0.785229395661235,0.48029449116872786,1.392913060112579,,,266.0,"{'k_best': 266, 'alpha': 0.0006818992665918821, 'l1_ratio': 0.6070648590090875}"
