modelo,target,n_amostras,n_features_originais,cv_best_r2,test_r2,test_rmse,test_mae,pca_componentes,pca_variancia_explicada,k_best,melhores_params
MLP,pct_c,488,2542,0.6877336103005065,0.7250954860244982,0.5179951952926904,0.3153635602902331,18.0,0.9946328075217844,,"{'pca_n_components': 18, 'hidden_layer_sizes': (256, 128), 'activation': 'relu', 'alpha': 0.09520534460383046, 'learning_rate_init': 0.007686352346189078}"
ElasticNet,pct_c,488,2542,0.6895601446994624,0.6443570033433875,0.5891717656562058,0.39943044827305263,54.0,0.9988183001053476,,"{'pca_n_components': 54, 'alpha': 0.0341131161743133, 'l1_ratio': 0.35595910511771917}"
Lasso,pct_c,488,2542,0.688149292804711,0.6398107629578962,0.5929255451545163,0.40356897755290033,72.0,0.9992558665476496,,"{'pca_n_components': 72, 'alpha': 0.01152806843108044}"
LightGBM,pct_c,488,2542,0.6304874516724783,0.6307389914600268,0.6003458621716017,0.4022611899778863,22.0,0.9960049408302516,,"{'pca_n_components': 22, 'n_estimators': 350, 'learning_rate': 0.062098957598138965, 'max_depth': 2, 'num_leaves': 37, 'subsample': 0.7398673012143882, 'colsample_bytree': 0.9873997984807698, 'reg_alpha': 0.0801482686924794, 'reg_lambda': 0.004007282161596952}"
Ridge,pct_c,488,2542,0.6907875247559796,0.6121702076926527,0.6152553229163227,0.4136752847273226,62.0,0.9990495024416494,,"{'pca_n_components': 62, 'alpha': 8.368907342383011}"
ElasticNet_SelectKBest,pct_c,488,2542,0.5037977414332409,0.5762894174345098,0.6430865868641327,0.48563555298278166,,,297.0,"{'k_best': 297, 'alpha': 0.0008770194151811547, 'l1_ratio': 0.259886621168969}"
PLS,pct_c,488,2542,0.690223839404742,0.5716337134759658,0.6466100309821441,0.42718947074988584,54.0,0.9988178510493192,,"{'pca_n_components': 54, 'n_components': 6}"
XGBoost,pct_c,488,2542,0.665610994243288,0.45746008553359996,0.7276970983132893,0.3788563566791768,18.0,0.9946328075265869,,"{'pca_n_components': 18, 'n_estimators': 250, 'learning_rate': 0.034798026722959036, 'max_depth': 3, 'subsample': 0.8207805983259449, 'colsample_bytree': 0.9995255600066517, 'reg_alpha': 0.08120198980152772, 'reg_lambda': 0.0007351198248530422}"
