modelo,target,n_amostras,n_features_originais,cv_best_r2,test_r2,test_rmse,test_mae,pca_componentes,pca_variancia_explicada,k_best,melhores_params
LightGBM,exbas,1884,2542,0.8486066236063803,0.8247696858984408,8.856474866426796,4.2683427483152405,33.0,0.9974783037114402,,"{'pca_n_components': 33, 'n_estimators': 500, 'learning_rate': 0.06950037554709732, 'max_depth': 5, 'num_leaves': 80, 'subsample': 0.9666397203685703, 'colsample_bytree': 0.8514022278660525, 'reg_alpha': 0.00015650884447663768, 'reg_lambda': 0.006235244652269064}"
MLP,exbas,1884,2542,0.863211793025448,0.823621422991619,8.885445184760757,3.766200571621723,56.0,0.9987504689173978,,"{'pca_n_components': 56, 'hidden_layer_sizes': (128, 64), 'activation': 'relu', 'alpha': 4.7038239972548396e-05, 'learning_rate_init': 0.00020594189326842143}"
Lasso,exbas,1884,2542,0.8393213235732564,0.8102210555620927,9.216802642759554,4.2218348085551405,78.0,0.99922804954998,,"{'pca_n_components': 78, 'alpha': 0.044715569705509134}"
ElasticNet,exbas,1884,2542,0.8402575462774291,0.7998199641665018,9.466003399611669,4.243676557971856,70.0,0.9990950790996153,,"{'pca_n_components': 70, 'alpha': 0.17671193870588284, 'l1_ratio': 0.09440714960475004}"
Ridge,exbas,1884,2542,0.839499241981142,0.7955357726938351,9.566761400273815,4.297343343353499,47.0,0.9984103836728672,,"{'pca_n_components': 47, 'alpha': 222.02271552623887}"
PLS,exbas,1884,2542,0.8375995152127281,0.7955069350098807,9.567436025655452,4.455050069294325,49.0,0.9984949613777224,,"{'pca_n_components': 49, 'n_components': 8}"
XGBoost,exbas,1884,2542,0.853628304952432,0.7950518847512655,9.578075127084626,4.19082572874116,47.0,0.998410381844421,,"{'pca_n_components': 47, 'n_estimators': 300, 'learning_rate': 0.02294974811033428, 'max_depth': 6, 'subsample': 0.7304573258265799, 'colsample_bytree': 0.6254916055968371, 'reg_alpha': 0.030258784598733914, 'reg_lambda': 0.9929321552610605}"
ElasticNet_SelectKBest,exbas,1884,2542,0.6673010290993027,0.6167517632118544,13.097739770967815,7.943138660939675,,,300.0,"{'k_best': 300, 'alpha': 0.001024473457675689, 'l1_ratio': 0.6570158501834392}"
